Model,R²,RMSE,MAE
Random Forest,0.2633,15.0384,11.2477
LightGBM,0.6187,10.82,8.7192
Ridge Regression,-425.2478,361.7413,218.8629
Lasso Regression,-481.5126,384.8765,228.0956
ElasticNet,-148.2505,214.0548,125.409
Decision Tree,0.466,12.8042,9.1509
ExtraTreeRegressor,0.5895,11.2262,9.7371
XGBoost,-0.0834,18.2377,13.5453
HistGradientBoosting,0.2072,15.6009,10.8823
SVR,-0.213,19.2974,17.1938
KNN,0.6441,10.453,9.0024
